article_title,Before_ChatGPT,Release_Day,After_ChatGPT,avg_view_difference,pct_change
Kernel_density_estimation,934.0,977.0,942.5,8.5,0.9100642398286938
Spatial_embedding,3.0,4.0,11.0,8.0,266.66666666666663
Rule_induction,17.0,45.0,25.0,8.0,47.05882352941176
Inductive_programming,17.5,18.0,25.5,8.0,45.714285714285715
Computer_audition,6.0,15.0,13.5,7.5,125.0
Emergent_algorithm,8.5,10.0,15.5,7.0,82.35294117647058
Virtual_intelligence,12.0,5.0,19.0,7.0,58.333333333333336
Neural_computation,21.0,23.0,27.5,6.5,30.952380952380953
Version_space_learning,38.5,27.0,45.0,6.5,16.883116883116884
The_Master_Algorithm,21.5,21.0,27.5,6.0,27.906976744186046
GOLOG,4.0,8.0,10.0,6.0,150.0
Bag-of-words_model,550.5,520.0,556.5,6.0,1.08991825613079
Hardware_for_artificial_intelligence,6.0,9.0,12.0,6.0,100.0
Knowledge_integration,12.5,9.0,18.0,5.5,44.0
Transduction_(machine_learning),59.0,65.0,64.5,5.5,9.322033898305085
Knowledge-based_recommender_system,24.5,16.0,29.5,5.0,20.408163265306122
Machine_perception,39.0,43.0,44.0,5.0,12.82051282051282
Parity_learning,7.5,5.0,11.5,4.0,53.333333333333336
Data_Science_and_Predictive_Analytics,1.0,4.0,5.0,4.0,400.0
Quantum_artificial_life,4.0,2.0,8.0,4.0,100.0
Automated_decision-making,53.0,74.0,57.0,4.0,7.547169811320755
Language/action_perspective,8.0,5.0,11.5,3.5,43.75
Algorithm_selection,4.5,8.0,8.0,3.5,77.77777777777779
Belief–desire–intention_model,7.5,6.0,11.0,3.5,46.666666666666664
Active_learning_(machine_learning),334.0,339.0,337.5,3.5,1.0479041916167664
Nature_Machine_Intelligence,11.5,26.0,15.0,3.5,30.434782608695656
Decision_list,7.5,14.0,11.0,3.5,46.666666666666664
Equalized_odds,23.5,20.0,26.5,3.0,12.76595744680851
Prior_knowledge_for_pattern_recognition,3.5,7.0,6.5,3.0,85.71428571428571
Intelligent_decision_support_system,12.5,16.0,15.5,3.0,24.0
Lifelong_Planning_A*,22.5,25.0,25.5,3.0,13.333333333333334
Paraphrasing_(computational_linguistics),9.0,9.0,11.5,2.5,27.77777777777778
Learning_automaton,10.0,12.0,12.5,2.5,25.0
Native-language_identification,4.0,10.0,6.5,2.5,62.5
Situated,4.0,8.0,6.5,2.5,62.5
Zeuthen_strategy,1.0,2.0,3.0,2.0,200.0
Developmental_robotics,9.0,9.0,11.0,2.0,22.22222222222222
Gabbay's_separation_theorem,1.0,3.0,3.0,2.0,200.0
Preference_learning,7.5,6.0,9.5,2.0,26.666666666666668
Personoid,3.0,3.0,5.0,2.0,66.66666666666666
Concurrent_MetateM,1.0,1.0,3.0,2.0,200.0
Expectation_propagation,12.0,12.0,14.0,2.0,16.666666666666664
Fuzzy_agent,1.0,0.0,3.0,2.0,200.0
Google_Clips,9.0,20.0,11.0,2.0,22.22222222222222
Programming_by_example,13.5,8.0,15.5,2.0,14.814814814814813
Histogram_of_oriented_displacements,0.0,0.0,2.0,2.0,0.0
Semantic_folding,2.0,5.0,3.5,1.5,75.0
Neural_modeling_fields,15.5,21.0,17.0,1.5,9.67741935483871
Lyra_(codec),10.0,13.0,11.5,1.5,15.0
Operation_Serenata_de_Amor,1.5,3.0,3.0,1.5,100.0
Toronto_Declaration,3.5,10.0,5.0,1.5,42.857142857142854
Maximum_inner-product_search,6.0,7.0,7.5,1.5,25.0
Binary_classification,171.0,197.0,172.5,1.5,0.8771929824561403
Attributional_calculus,0.0,0.0,1.0,1.0,0.0
Deep_Learning_Super_Sampling,7.5,9.0,8.5,1.0,13.333333333333334
80_Million_Tiny_Images,6.0,2.0,7.0,1.0,16.666666666666664
Artificial_psychology,2.0,6.0,3.0,1.0,50.0
Quantification_(machine_learning),3.5,5.0,4.5,1.0,28.57142857142857
Computational_humor,8.0,14.0,9.0,1.0,12.5
Human-in-the-loop,119.5,121.0,120.5,1.0,0.8368200836820083
Recursive_self-improvement,3.5,3.0,4.5,1.0,28.57142857142857
Autonomic_networking,3.0,2.0,4.0,1.0,33.33333333333333
Nolot,2.0,4.0,3.0,1.0,50.0
Inauthentic_text,1.0,1.0,2.0,1.0,100.0
Ameca_(robot),0.0,0.0,1.0,1.0,0.0
Life-time_of_correlation,6.0,2.0,7.0,1.0,16.666666666666664
Underfitting,1.5,1.0,2.5,1.0,66.66666666666666
Proaftn,1.0,0.0,2.0,1.0,100.0
Evolutionary_developmental_robotics,1.5,1.0,2.0,0.5,33.33333333333333
ASR-complete,1.5,1.0,2.0,0.5,33.33333333333333
Bayesian_interpretation_of_kernel_regularization,8.0,10.0,8.5,0.5,6.25
K-line_(artificial_intelligence),7.5,1.0,8.0,0.5,6.666666666666667
Extremal_optimization,4.5,0.0,5.0,0.5,11.11111111111111
Workplace_impact_of_artificial_intelligence,9.5,7.0,10.0,0.5,5.263157894736842
Pythia_(machine_learning),1.5,1.0,2.0,0.5,33.33333333333333
Embodied_cognitive_science,10.5,13.0,11.0,0.5,4.761904761904762
Intelligent_database,2.5,2.0,3.0,0.5,20.0
Statistical_relational_learning,17.0,25.0,17.5,0.5,2.941176470588235
Grammar_systems_theory,2.0,1.0,2.0,0.0,0.0
Multitask_optimization,3.5,2.0,3.5,0.0,0.0
Proactive_learning,5.5,4.0,5.5,0.0,0.0
Multiple-instance_learning,1.5,0.0,1.5,0.0,0.0
Google_Colab,4.0,6.0,4.0,0.0,0.0
Deep_Learning_Anti-Aliasing,2.0,0.0,2.0,0.0,0.0
Pattern_language_(formal_languages),1.0,0.0,1.0,0.0,0.0
Autonomous_agent,21.0,26.0,21.0,0.0,0.0
Generative_AI,4.0,3.0,4.0,0.0,0.0
Information_space_analysis,1.0,0.0,1.0,0.0,0.0
Universal_psychometrics,4.0,1.0,4.0,0.0,0.0
KAoS,1.0,0.0,1.0,0.0,0.0
CIML_community_portal,1.0,0.0,1.0,0.0,0.0
Leave-one-out_cross-validation,1.0,1.0,1.0,0.0,0.0
Bayesian_regret,6.0,6.0,6.0,0.0,0.0
Autognostics,0.0,1.0,0.0,0.0,0.0
Weak_supervision,180.5,170.0,180.5,0.0,0.0
Learnable_function_class,2.0,1.0,1.5,-0.5,-25.0
Predictive_state_representation,4.0,5.0,3.5,-0.5,-12.5
Local_case-control_sampling,2.0,3.0,1.5,-0.5,-25.0
INDIAai,3.0,6.0,2.5,-0.5,-16.666666666666664
Connectionist_expert_system,2.5,2.0,2.0,-0.5,-20.0
Knowledge-based_configuration,3.0,2.0,2.5,-0.5,-16.666666666666664
Inferential_theory_of_learning,2.5,1.0,2.0,-0.5,-20.0
Character_computing,4.5,0.0,4.0,-0.5,-11.11111111111111
Pedagogical_agent,3.0,5.0,2.5,-0.5,-16.666666666666664
Algorithmic_inference,9.5,11.0,9.0,-0.5,-5.263157894736842
Automation_in_construction,9.5,19.0,9.0,-0.5,-5.263157894736842
Medical_School_Admissions:_Report_of_a_formal_investigation_into_St._George's_Hospital_Medical_School_(1988),2.0,2.0,1.5,-0.5,-25.0
Knowledge_compilation,3.5,2.0,3.0,-0.5,-14.285714285714285
Machine_learning_in_earth_sciences,6.5,3.0,6.0,-0.5,-7.6923076923076925
Artificial_intelligence_in_education,1.0,0.0,0.0,-1.0,-100.0
Fitness_approximation,7.5,8.0,6.5,-1.0,-13.333333333333334
Mindpixel,5.5,4.0,4.5,-1.0,-18.181818181818183
Coupled_pattern_learner,6.5,6.0,5.5,-1.0,-15.384615384615385
Probability_matching,9.5,11.0,8.5,-1.0,-10.526315789473683
Evolvability_(computer_science),1.0,0.0,0.0,-1.0,-100.0
Data_exploration,38.5,30.0,37.5,-1.0,-2.5974025974025974
AI_safety,4.0,5.0,3.0,-1.0,-25.0
AIOps,2.0,2.0,1.0,-1.0,-50.0
Neurocomputing_(journal),12.0,14.0,11.0,-1.0,-8.333333333333332
Qloo,4.5,1.0,3.5,-1.0,-22.22222222222222
Singularity_studies,1.0,0.0,0.0,-1.0,-100.0
Flux_(machine-learning_framework),7.0,4.0,6.0,-1.0,-14.285714285714285
Way_of_the_Future,1.0,0.0,0.0,-1.0,-100.0
Computational_heuristic_intelligence,2.0,2.0,1.0,-1.0,-50.0
Enterprise_cognitive_system,1.0,0.0,0.0,-1.0,-100.0
Hierarchical_control_system,24.0,30.0,23.0,-1.0,-4.166666666666666
Knowledge_level,5.5,7.0,4.5,-1.0,-18.181818181818183
Structural_risk_minimization,16.0,16.0,15.0,-1.0,-6.25
Bayesian_learning_mechanisms,3.5,2.0,2.0,-1.5,-42.857142857142854
Gödel_machine,23.0,22.0,21.5,-1.5,-6.521739130434782
Symbol_level,3.0,0.0,1.5,-1.5,-50.0
POP-11,6.0,10.0,4.5,-1.5,-25.0
Winner-take-all_in_action_selection,4.5,0.0,3.0,-1.5,-33.33333333333333
VACUUM,2.5,3.0,1.0,-1.5,-60.0
Validation_set,4.0,0.0,2.5,-1.5,-37.5
Product_of_experts,10.5,8.0,8.5,-2.0,-19.047619047619047
Predictive_learning,6.5,2.0,4.5,-2.0,-30.76923076923077
Principle_of_rationality,7.0,4.0,5.0,-2.0,-28.57142857142857
Uncertain_data,8.0,2.0,6.0,-2.0,-25.0
Automated_negotiation,6.0,4.0,4.0,-2.0,-33.33333333333333
Perceiver,27.0,25.0,25.0,-2.0,-7.4074074074074066
Wumpus_world,2.0,0.0,0.0,-2.0,-100.0
M-theory_(learning_framework),2.0,1.0,0.0,-2.0,-100.0
Artificial_wisdom,5.5,5.0,3.5,-2.0,-36.36363636363637
Automated_Mathematician,4.5,5.0,2.5,-2.0,-44.44444444444444
Inductive_probability,16.5,19.0,14.5,-2.0,-12.121212121212121
AIXI,41.0,63.0,39.0,-2.0,-4.878048780487805
SUPS,4.5,4.0,2.0,-2.5,-55.55555555555556
Cognitive_philology,5.5,2.0,3.0,-2.5,-45.45454545454545
Embodied_agent,26.5,21.0,24.0,-2.5,-9.433962264150944
Granular_computing,11.0,9.0,8.5,-2.5,-22.727272727272727
Personality_computing,4.0,4.0,1.5,-2.5,-62.5
Incremental_heuristic_search,17.5,20.0,15.0,-2.5,-14.285714285714285
ELMo,31.0,30.0,28.5,-2.5,-8.064516129032258
Matrix_regularization,16.0,17.0,13.5,-2.5,-15.625
Instance_selection,5.5,8.0,3.0,-2.5,-45.45454545454545
Artificial_intelligence_of_things,51.5,53.0,49.0,-2.5,-4.854368932038835
Coherent_extrapolated_volition,5.0,2.0,2.5,-2.5,-50.0
Apprenticeship_learning,11.0,15.0,8.0,-3.0,-27.27272727272727
Isotropic_position,7.0,9.0,4.0,-3.0,-42.857142857142854
Bioserenity,4.0,5.0,1.0,-3.0,-75.0
Nouvelle_AI,8.5,2.0,5.5,-3.0,-35.294117647058826
Astrostatistics,12.0,15.0,9.0,-3.0,-25.0
Syman,6.5,4.0,3.5,-3.0,-46.15384615384615
Schema-agnostic_databases,7.5,5.0,4.5,-3.0,-40.0
Multiplicative_weight_update_method,31.5,35.0,28.5,-3.0,-9.523809523809524
Highway_network,25.5,28.0,22.5,-3.0,-11.76470588235294
Spike-and-slab_regression,31.0,32.0,28.0,-3.0,-9.67741935483871
Bayesian_programming,13.0,13.0,9.5,-3.5,-26.923076923076923
Sequence_labeling,32.5,20.0,29.0,-3.5,-10.76923076923077
Double_descent,36.5,41.0,33.0,-3.5,-9.58904109589041
Timeline_of_machine_learning,63.5,70.0,60.0,-3.5,-5.511811023622047
Gender_digital_divide,14.5,24.0,10.5,-4.0,-27.586206896551722
Argumentation_framework,20.5,24.0,16.5,-4.0,-19.51219512195122
Description_logic,108.0,122.0,104.0,-4.0,-3.7037037037037033
EM_algorithm_and_GMM_model,36.0,23.0,31.5,-4.5,-12.5
Epistemic_modal_logic,38.0,27.0,33.5,-4.5,-11.842105263157894
Data_preprocessing,6.5,1.0,2.0,-4.5,-69.23076923076923
Neural_network_quantum_states,9.0,6.0,4.5,-4.5,-50.0
Pattern_theory,20.5,14.0,16.0,-4.5,-21.951219512195124
Uniform_convergence_in_probability,16.0,22.0,11.5,-4.5,-28.125
Spreading_activation,20.0,4.0,15.5,-4.5,-22.5
Novelty_detection,16.5,27.0,11.5,-5.0,-30.303030303030305
Hybrid_intelligent_system,15.0,18.0,10.0,-5.0,-33.33333333333333
Human_Problem_Solving,7.5,2.0,2.5,-5.0,-66.66666666666666
Smart_object,40.5,12.0,35.5,-5.0,-12.345679012345679
Action_model_learning,17.5,15.0,12.5,-5.0,-28.57142857142857
Generative_model,344.5,386.0,339.5,-5.0,-1.4513788098693758
Offline_learning,15.0,5.0,9.5,-5.5,-36.666666666666664
Dynamic_epistemic_logic,9.0,6.0,3.5,-5.5,-61.111111111111114
Stability_(learning_theory),28.5,23.0,23.0,-5.5,-19.298245614035086
Universal_portfolio_algorithm,17.0,17.0,11.5,-5.5,-32.35294117647059
Manifold_regularization,16.5,18.0,10.5,-6.0,-36.36363636363637
Wetware_computer,85.5,83.0,79.5,-6.0,-7.017543859649122
Probabilistic_numerics,14.0,7.0,8.0,-6.0,-42.857142857142854
Brain_technology,17.5,13.0,11.0,-6.5,-37.142857142857146
Structured_sparsity_regularization,14.0,21.0,7.5,-6.5,-46.42857142857143
Proximal_gradient_methods_for_learning,36.0,17.0,29.0,-7.0,-19.444444444444446
Multimodal_sentiment_analysis,20.0,16.0,13.0,-7.0,-35.0
Intelligent_word_recognition,13.0,7.0,5.5,-7.5,-57.692307692307686
Toy_problem,31.5,30.0,24.0,-7.5,-23.809523809523807
Sample_complexity,34.5,29.0,26.5,-8.0,-23.18840579710145
Algorithmic_probability,23.5,14.0,15.5,-8.0,-34.04255319148936
Meta-learning_(computer_science),85.5,85.0,77.5,-8.0,-9.35672514619883
Symbolic_artificial_intelligence,286.0,312.0,278.0,-8.0,-2.797202797202797
Instance-based_learning,56.0,52.0,48.0,-8.0,-14.285714285714285
Halite_AI_Programming_Competition,20.0,20.0,12.0,-8.0,-40.0
Case-based_reasoning,62.0,58.0,53.5,-8.5,-13.709677419354838
Linear_predictor_function,53.5,53.0,45.0,-8.5,-15.887850467289718
Wetware_(brain),59.5,42.0,51.0,-8.5,-14.285714285714285
Commonsense_knowledge_(artificial_intelligence),41.5,42.0,32.5,-9.0,-21.686746987951807
List_of_programming_languages_for_artificial_intelligence,141.0,134.0,132.0,-9.0,-6.382978723404255
Semantic_analysis_(machine_learning),20.5,11.0,11.0,-9.5,-46.34146341463415
Intelligent_automation,20.0,21.0,10.5,-9.5,-47.5
Percept_(artificial_intelligence),24.5,12.0,15.0,-9.5,-38.775510204081634
Geometric_feature_learning,14.5,7.0,5.0,-9.5,-65.51724137931035
Labeled_data,44.5,42.0,34.5,-10.0,-22.47191011235955
Intelligent_control,31.0,30.0,21.0,-10.0,-32.25806451612903
Federated_learning,638.0,634.0,628.0,-10.0,-1.5673981191222568
Empowerment_(artificial_intelligence),17.0,12.0,6.5,-10.5,-61.76470588235294
Artificial_reproduction,22.0,10.0,11.5,-10.5,-47.72727272727273
Mountain_car_problem,19.5,25.0,9.0,-10.5,-53.84615384615385
Empirical_dynamic_modeling,19.0,8.0,8.5,-10.5,-55.26315789473685
DABUS,37.0,23.0,26.5,-10.5,-28.37837837837838
Non-human,67.5,61.0,56.5,-11.0,-16.296296296296298
Intrinsic_motivation_(artificial_intelligence),53.5,41.0,42.5,-11.0,-20.5607476635514
Document_classification,95.0,87.0,84.0,-11.0,-11.578947368421053
Flow-based_generative_model,44.5,46.0,33.5,-11.0,-24.719101123595504
Co-training,25.0,21.0,13.5,-11.5,-46.0
Journal_of_Machine_Learning_Research,34.5,37.0,23.0,-11.5,-33.33333333333333
Knowledge_graph_embedding,58.5,63.0,47.0,-11.5,-19.65811965811966
Machine_learning_in_physics,40.5,28.0,29.0,-11.5,-28.39506172839506
Robot_learning,25.0,23.0,12.5,-12.5,-50.0
Feature_learning,264.5,268.0,252.0,-12.5,-4.725897920604915
Means–ends_analysis,48.0,34.0,35.5,-12.5,-26.041666666666668
Bradley–Terry_model,68.5,74.0,56.0,-12.5,-18.248175182481752
Solomonoff's_theory_of_inductive_inference,49.0,39.0,36.0,-13.0,-26.53061224489796
Machine_learning_in_bioinformatics,55.0,51.0,42.0,-13.0,-23.636363636363637
Knowledge-based_systems,125.5,122.0,112.5,-13.0,-10.358565737051793
Kernel_embedding_of_distributions,43.0,24.0,30.0,-13.0,-30.23255813953488
Learning_curve_(machine_learning),49.0,54.0,36.0,-13.0,-26.53061224489796
Explanation-based_learning,26.0,9.0,12.5,-13.5,-51.92307692307693
Artificial_intelligence_in_hiring,27.0,34.0,13.0,-14.0,-51.85185185185185
Neuro-symbolic_AI,89.5,112.0,75.5,-14.0,-15.64245810055866
And–or_tree,44.5,38.0,30.5,-14.0,-31.46067415730337
Right_to_explanation,34.0,24.0,19.5,-14.5,-42.64705882352941
Cross-entropy_method,59.0,63.0,44.0,-15.0,-25.423728813559322
Intelligent_agent,243.0,237.0,228.0,-15.0,-6.172839506172839
Formal_concept_analysis,51.0,54.0,35.5,-15.5,-30.392156862745097
Cognitive_robotics,55.5,43.0,40.0,-15.5,-27.927927927927925
Computational_intelligence,95.0,48.0,79.0,-16.0,-16.842105263157894
Linear_separability,135.5,102.0,119.0,-16.5,-12.177121771217712
Base_rate,82.5,73.0,65.5,-17.0,-20.606060606060606
Elements_of_AI,35.0,9.0,18.0,-17.0,-48.57142857142857
Web_intelligence,34.0,20.0,16.5,-17.5,-51.470588235294116
Domain_adaptation,102.0,122.0,84.5,-17.5,-17.15686274509804
Concept_drift,94.5,75.0,76.0,-18.5,-19.576719576719576
Cross-validation_(statistics),1107.0,1109.0,1087.5,-19.5,-1.7615176151761516
Behavior_informatics,37.0,20.0,17.5,-19.5,-52.702702702702695
Matchbox_Educable_Noughts_and_Crosses_Engine,42.5,31.0,22.5,-20.0,-47.05882352941176
Lazy_learning,69.0,63.0,48.5,-20.5,-29.71014492753623
Phi_coefficient,265.0,287.0,244.0,-21.0,-7.9245283018867925
Leakage_(machine_learning),114.0,120.0,92.5,-21.5,-18.859649122807017
Rademacher_complexity,85.5,95.0,62.5,-23.0,-26.900584795321635
Feature_hashing,160.0,185.0,137.0,-23.0,-14.374999999999998
Business_process_automation,105.5,118.0,82.0,-23.5,-22.274881516587676
Self-supervised_learning,247.5,243.0,224.0,-23.5,-9.494949494949495
.ai,124.5,125.0,100.0,-24.5,-19.67871485943775
Problem_solving,854.5,914.0,829.5,-25.0,-2.925687536571094
Outline_of_machine_learning,55.0,51.0,29.5,-25.5,-46.36363636363636
Cognitive_computing,109.5,119.0,84.0,-25.5,-23.28767123287671
Learning_rate,246.0,253.0,220.5,-25.5,-10.365853658536585
Evaluation_of_binary_classifiers,100.5,118.0,75.0,-25.5,-25.37313432835821
Similarity_learning,85.5,69.0,59.0,-26.5,-30.994152046783626
Bias–variance_tradeoff,716.0,742.0,688.5,-27.5,-3.840782122905028
Multivariate_adaptive_regression_spline,110.0,84.0,82.5,-27.5,-25.0
Pattern_recognition,388.5,373.0,359.5,-29.0,-7.4646074646074645
Software_agent,116.5,121.0,86.5,-30.0,-25.75107296137339
Automated_machine_learning,191.5,188.0,161.0,-30.5,-15.926892950391643
Algorithmic_bias,225.0,279.0,194.5,-30.5,-13.555555555555557
Surrogate_model,178.5,172.0,147.5,-31.0,-17.366946778711483
Artificial_consciousness,209.5,162.0,178.0,-31.5,-15.035799522673033
Artificial_intelligence_arms_race,118.0,130.0,85.0,-33.0,-27.966101694915253
Weak_artificial_intelligence,118.0,75.0,83.5,-34.5,-29.23728813559322
Feature_scaling,482.0,436.0,447.0,-35.0,-7.261410788381744
Bayesian_optimization,341.5,376.0,305.0,-36.5,-10.68814055636896
Glossary_of_artificial_intelligence,98.5,103.0,61.5,-37.0,-37.56345177664975
Symbolic_regression,118.0,116.0,81.0,-37.0,-31.35593220338983
Anomaly_detection,408.5,395.0,371.0,-37.5,-9.179926560587514
Hyperparameter_optimization,377.0,356.0,338.5,-38.5,-10.212201591511937
Attention_(machine_learning),533.0,562.0,494.0,-39.0,-7.317073170731707
Statistical_learning_theory,174.5,183.0,133.0,-41.5,-23.78223495702006
Conditional_random_field,218.0,250.0,173.5,-44.5,-20.412844036697248
Adversarial_machine_learning,299.5,292.0,252.5,-47.0,-15.692821368948248
Ugly_duckling_theorem,79.5,45.0,31.5,-48.0,-60.37735849056604
Hyperparameter_(machine_learning),415.0,411.0,364.5,-50.5,-12.168674698795181
Learning_to_rank,206.0,179.0,154.5,-51.5,-25.0
Curse_of_dimensionality,629.5,718.0,576.0,-53.5,-8.498808578236696
Empirical_risk_minimization,178.5,145.0,119.5,-59.0,-33.0532212885154
Feature_engineering,294.0,226.0,229.5,-64.5,-21.93877551020408
Data_augmentation,262.0,226.0,194.0,-68.0,-25.954198473282442
Explainable_artificial_intelligence,388.0,341.0,311.5,-76.5,-19.716494845360824
Machine_learning_in_video_games,129.0,94.0,52.5,-76.5,-59.30232558139535
Instance_(computer_science),190.5,181.0,113.0,-77.5,-40.68241469816273
Admissible_heuristic,240.5,176.0,163.0,-77.5,-32.224532224532226
Overfitting,463.5,500.0,384.0,-79.5,-17.15210355987055
Time_series,1080.5,973.0,997.5,-83.0,-7.681628875520592
Multi-armed_bandit,695.0,714.0,602.5,-92.5,-13.309352517985612
MLOps,449.5,470.0,354.0,-95.5,-21.245828698553947
Robotic_process_automation,640.0,537.0,534.5,-105.5,-16.484375
AI_effect,260.5,203.0,144.0,-116.5,-44.72168905950096
Transfer_learning,540.5,483.0,417.5,-123.0,-22.756706753006476
Decision_tree_pruning,379.5,441.0,245.5,-134.0,-35.30961791831357
Game_theory,2505.5,2429.0,2268.5,-237.0,-9.459189782478546
Graphics_processing_unit,1822.0,1661.0,1569.5,-252.5,-13.858397365532383
Confusion_matrix,2684.0,2772.0,2323.0,-361.0,-13.450074515648286
Machine_learning,4979.0,4990.0,4337.0,-642.0,-12.89415545290219
Artificial_intelligence,19120.0,18991.0,17963.0,-1157.0,-6.051255230125523
